Tm,Payroll
New York Yankees,88180712
Texas Rangers,81576598
Atlanta Braves,74890000
Cleveland Guardians,73278458
Baltimore Orioles,72198363
Boston Red Sox,71725000
New York Mets,71506427
Los Angeles Dodgers,71115786
Arizona Diamondbacks,70496000
Chicago Cubs,55443500
Colorado Rockies,54442505
Houston Astros,54339000
Los Angeles Angels,49868167
Toronto Blue Jays,48455333
St. Louis Cardinals,46173195
San Francisco Giants,45959557
San Diego Padres,45832180
Seattle Mariners,44396336
Milwaukee Brewers,42927395
Cincinnati Reds,42142761
Tampa Bay Rays,38027500
Detroit Tigers,34959667
Philadelphia Phillies,30568167
Chicago White Sox,24535000
Athletics,24175333
Pittsburgh Pirates,24167667
Kansas City Royals,16557000
Washington Nationals,16413000
Minnesota Twins,16345000
Miami Marlins,15150000
