Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,San Francisco Giants16.0,BOS10.2,BOS8.4,COL4.9,SFG14.6,NYM3.7,COL6.6,SFG4.5,ANA4.9,SEA8.0,SFG5.9,ATL6.0,PHI3.9,SFG9.3,SEA3.2,STL0.5
2,Cleveland Indians12.9,MIN8.0,ARI7.0,MIN4.5,STL11.9,TEX3.3,TOR4.8,NYM4.0,ATL3.2,BOS4.5,ANA4.2,STL4.3,CHC3.5,ANA6.4,CHW2.4,SFG0.4
3,St. Louis Cardinals12.0,ARI7.4,ATL5.9,CHW3.3,SEA10.5,LAD2.5,STL4.4,CLE3.0,CLE2.3,CHW2.7,LAD3.6,CIN3.8,SFG3.4,STL4.7,CLE1.2,CIN0.2
4,Atlanta Braves11.6,COL5.4,NYM5.5,BOS1.9,CLE8.7,PIT2.5,OAK4.1,FLA2.7,SDP2.1,ATL2.4,DET2.6,NYY2.6,MON3.4,CIN4.2,ANA0.8,SEA-0.2
5,Chicago White Sox10.1,ATL4.9,STL4.1,NYY1.6,ANA7.6,NYY2.4,HOU3.0,DET2.0,PHI1.9,NYY2.0,MIL2.4,HOU2.4,CLE2.0,HOU4.0,KCR0.6,ANA-0.3
6,Seattle Mariners8.1,CLE4.2,PHI3.8,CIN1.6,ATL6.7,BAL1.7,CIN1.4,MON1.7,LAD1.7,OAK1.7,ARI1.9,BOS2.0,ANA1.6,LAD3.6,TBD0.2,CHW-0.3
7,Colorado Rockies8.0,OAK4.0,LAD3.8,CLE1.6,CHW6.4,CHW1.5,KCR1.4,STL1.7,CIN1.5,BAL1.2,TOR1.9,SEA1.6,KCR1.6,ATL2.9,NYM0.2,DET-0.5
8,New York Mets7.6,NYM3.8,MIN3.5,OAK0.7,LAD4.4,SFG1.1,SEA1.3,ATL1.2,COL1.3,TBD1.2,KCR0.9,ARI1.4,HOU1.4,KCR2.9,FLA0.1,CLE-0.5
9,Oakland Athletics7.5,CHW3.7,OAK3.4,ARI0.2,CIN4.0,DET0.6,CLE1.3,BAL1.0,CHW0.6,SFG0.9,BAL0.8,CLE1.2,STL0.9,TOR2.7,LAD0.1,LAD-0.5
10,Los Angeles Dodgers7.4,NYY3.4,CLE2.8,MIL0.1,NYM3.8,PHI0.6,SDP0.9,CHW0.9,MIN0.6,DET0.5,CIN0.6,ANA0.6,LAD0.9,NYY2.1,SFG0.0,OAK-0.5
11,Cincinnati Reds6.8,LAD3.0,NYY2.0,SFG0.1,OAK3.5,STL0.5,CHC0.7,CHC0.8,OAK0.6,CLE0.5,FLA0.3,KCR0.4,TOR0.8,DET1.4,COL0.0,NYM-0.5
12,Boston Red Sox3.7,CIN2.8,CIN1.8,TBD0.0,DET2.7,CHC0.0,TEX0.4,MIL0.4,FLA0.4,STL0.4,HOU0.2,PIT0.4,COL0.7,CLE1.4,STL0.0,TBD-0.6
13,New York Yankees3.6,SFG1.4,COL1.3,ANA-0.3,COL2.6,ARI-0.2,MIL0.4,OAK0.1,KCR0.2,MIL-0.1,NYY0.0,OAK0.2,PIT0.3,PHI1.1,PIT0.0,FLA-0.6
14,Arizona Diamondbacks1.9,STL0.1,TOR0.9,LAD-0.6,KCR2.0,HOU-0.2,BAL0.3,CIN-0.2,TOR0.0,CIN-0.2,CHW0.0,NYM0.2,FLA0.0,ARI1.1,ARI0.0,NYY-0.6
