0,1,2
World Series,4-2,Houston Astros over Philadelphia Phillies
ALCS,4-0,Houston Astros over New York Yankees
NLCS,4-1,Philadelphia Phillies over San Diego Padres
AL Division Series,3-2,New York Yankees over Cleveland Guardians
AL Division Series,3-0,Houston Astros over Seattle Mariners
NL Division Series,3-1,Philadelphia Phillies over Atlanta Braves
NL Division Series,3-1,San Diego Padres over Los Angeles Dodgers
Wild Card Series,2-0,Cleveland Guardians over Tampa Bay Rays
Wild Card Series,2-0,Seattle Mariners over Toronto Blue Jays
Wild Card Series,2-1,San Diego Padres over New York Mets
Wild Card Series,2-0,Philadelphia Phillies over St. Louis Cardinals
